Molecule ChEMBL ID,Smiles,Standard Value,AlogP,Molecular Weight
CHEMBL276690,O=P(O)(O)C(Cc1cccc2c1OCO2)N[C@@H](Cc1ccc(-c2ccccc2)cc1)c1nnn[nH]1,0.7,3.22,493.46
CHEMBL431691,CC(O)C(NC(=O)C(Cc1ccccc1)CP(=O)(O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1)C(=O)O,10000.0,3.56,582.59
CHEMBL212001,CCc1nnc(NC(=O)C2(CCC(=O)O)CCCC2)s1,237.0,2.46,297.38
CHEMBL27842,NC(=O)CC(NC(=O)C(Cc1ccccc1)CP(=O)(O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1)C(=O)O,10000.0,3.06,595.59
CHEMBL273898,CC(C)CC(NC(=O)C(CS)C(C)c1ccccc1)C(=O)O,3.5,2.95,323.46
CHEMBL39714,O=C(NCCc1ccc(-c2ccccc2)cc1)[C@H](CC#Cc1ccccc1F)NCP(=O)(O)O,6500.0,3.69,480.48
CHEMBL150222,O=C1N[C@H](C(=O)O)CCCCc2ccccc2C[C@@H]1CS,0.9,2.07,307.42
CHEMBL378763,CCC[C@H](CC1(C(=O)Nc2nnc(CC)s2)CCCC1)C(=O)O,18.9,3.49,339.46
CHEMBL93785,COc1ccccc1C[C@H](NCP(=O)(O)O)C(=O)N[C@@H](Cc1ccc(-c2ccccc2)cc1)C(=O)O,1000.0,2.81,512.5
CHEMBL10251,O=P(O)(O)C(Cc1cccc2ccccc12)N[C@@H](Cc1ccc(-c2ccccc2)cc1)c1nnn[nH]1,4.8,4.64,499.51
CHEMBL273724,CC(c1ccc(F)cc1)C(CS)C(=O)NC(Cc1ccc(O)cc1)C(=O)O,5.9,2.99,391.46
CHEMBL89563,CC(C)[C@H](NCP(=O)(O)O)C(=O)N[C@@H](Cc1ccc(-c2ccccc2)cc1)C(=O)O,3.0,2.21,434.43
CHEMBL93167,CC(C)[C@H](NCP(=O)(O)O)C(=O)N[C@@H](Cc1ccc(C2CCCCC2)cc1)C(=O)O,35.0,2.6,440.48
CHEMBL11537,CCCCC(NC(=O)C(CS)C(C)c1ccccc1)C(=O)O,3.1,3.1,323.46
CHEMBL11806,COc1ccc(C(C)C(CS)C(=O)NC(Cc2ccc(O)cc2)C(=O)O)cc1OC,16.0,2.87,433.53
CHEMBL268473,O=P(O)(O)C(Cc1ccc2c(c1)OCO2)N[C@@H](Cc1ccc(-c2ccccc2)cc1)c1nnn[nH]1,0.6,3.22,493.46
CHEMBL287896,C[C@H](NC(=O)[C@@H](S)Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)O,400.0,1.11,350.44
CHEMBL442455,CC(C)CN(CP(=O)(O)O)C(=O)N[C@@H](Cc1ccc2ccccc2c1)C(=O)O,2.0,2.64,408.39
CHEMBL281237,O=C(N[C@@H](Cc1ccccc1)P(=O)(O)CC(Cc1ccccc1)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O)OCc1ccccc1,1400.0,5.9,667.7
CHEMBL424877,CCCC(CC1(NC(=O)c2ccc(=O)n(Cc3ccccc3)c2)CCCC1)C(=O)O,3000.0,3.83,410.51
CHEMBL48534,CC(S)(Cc1ccccc1)C(=O)N[C@H]1CCc2ccccc2N(CC(=O)O)C1=O,2000.0,2.47,412.51
CHEMBL11344,COc1cc(C(C)C(CS)C(=O)NC(Cc2ccc(O)cc2)C(=O)O)ccc1O,65.0,2.57,419.5
CHEMBL24923,CC(C)[C@@H](NC(=O)C(Cc1ccccc1)CP(=O)(O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1)C(=O)O,60000.0,4.84,580.62
CHEMBL211610,CCCC(CC1(C(=O)NCCc2ccc(Cl)cc2)CCCC1)C(=O)O,2000.0,4.45,365.9
CHEMBL378763,CCC[C@H](CC1(C(=O)Nc2nnc(CC)s2)CCCC1)C(=O)O,19.7,3.49,339.46
CHEMBL389061,COCC[C@H](CC1(C(=O)N[C@@H]2C[C@H]2c2ccc(OC)cc2)CCCC1)C(=O)O,13.8,3.36,389.49
CHEMBL1794047,C[C@H](O)[C@@H](NC(=O)C(Cc1ccccc1)CP(=O)(O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1)C(=O)O,50000.0,3.56,582.59
CHEMBL3633447,N=C(N)NCCC[C@H](NC(=O)[C@@H](CO)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](N)CCC(N)=O)C(=O)O,100000.0,-4.64,692.78
CHEMBL389061,COCC[C@H](CC1(C(=O)N[C@@H]2C[C@H]2c2ccc(OC)cc2)CCCC1)C(=O)O,6.1,3.36,389.49
CHEMBL446393,O=C(O)CN1C(=O)[C@@H](NC(=O)[C@H](CC#Cc2ccc(F)cc2F)NCP(=O)(O)O)CCc2ccccc21,730.0,1.35,535.44
CHEMBL11616,CC(c1ccccc1)C(CS)C(=O)NC(Cc1ccc(O)cc1)C(=O)O,2.5,2.85,373.47
CHEMBL2051773,CC(c1ccccc1)C(CS)C(=O)N[C@@H](C)C(=O)O,2.0,1.93,281.38
CHEMBL276872,O=P(O)(O)C(Cc1ccccc1)N[C@@H](Cc1ccc(-c2ccccc2)cc1)c1nnn[nH]1,0.74,3.49,449.45
CHEMBL11620,CC(NC(=O)C(CS)C(C)c1ccc2c(c1)OCO2)C(=O)O,2.0,1.65,325.39
CHEMBL276008,CC(NC(=O)C(CS)C(C)c1ccc(F)c(F)c1)C(=O)O,3.5,2.2,317.36
CHEMBL37527,CCCCC(C[C@@H](Cc1ccc(-c2ccccc2)cc1)C(=O)Nc1nc(CC(=O)O)cs1)C(=O)O,10.0,5.52,494.61
CHEMBL298388,O=C(O)CN1C(=O)[C@@H](NC(=O)[C@@H](S)Cc2ccccc2)CSc2ccccc21,64.0,2.24,416.52
CHEMBL304881,CN1C(=O)CC[C@H](NC(=O)[C@@H](S)Cc2ccccc2)C(=O)N1CC(=O)O,55.0,0.09,379.44
CHEMBL3235416,CNC(=O)[C@H](Cc1c[nH]cn1)NC(=O)CN(CCCc1ccccc1)CC(=O)O,100000.0,0.2,401.47
