Molecule ChEMBL ID,Smiles,Standard Value,AlogP,Molecular Weight,class,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL276690,O=P(O)(O)C(Cc1cccc2c1OCO2)N[C@@H](Cc1ccc(-c2ccccc2)cc1)c1nnn[nH]1,9.154901959985743,3.22,493.46,active,493.46000000000015,3.215300000000001,4.0,7.0
CHEMBL431691,CC(O)C(NC(=O)C(Cc1ccccc1)CP(=O)(O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1)C(=O)O,5.0,3.56,582.59,inactive,582.5900000000004,3.5611000000000006,5.0,6.0
CHEMBL212001,CCc1nnc(NC(=O)C2(CCC(=O)O)CCCC2)s1,6.6252516539898965,2.46,297.38,active,297.37999999999994,2.4642,2.0,5.0
CHEMBL27842,NC(=O)CC(NC(=O)C(Cc1ccccc1)CP(=O)(O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1)C(=O)O,5.0,3.06,595.59,inactive,595.5890000000004,3.0557000000000007,5.0,6.0
CHEMBL273898,CC(C)CC(NC(=O)C(CS)C(C)c1ccccc1)C(=O)O,8.455931955649724,2.95,323.46,active,323.458,2.951600000000001,3.0,3.0
CHEMBL39714,O=C(NCCc1ccc(-c2ccccc2)cc1)[C@H](CC#Cc1ccccc1F)NCP(=O)(O)O,5.187086643357144,3.69,480.48,inactive,480.47600000000017,3.686600000000003,4.0,3.0
CHEMBL150222,O=C1N[C@H](C(=O)O)CCCCc2ccccc2C[C@@H]1CS,9.045757490560675,2.07,307.42,active,307.41499999999996,2.0708999999999995,3.0,3.0
CHEMBL378763,CCC[C@H](CC1(C(=O)Nc2nnc(CC)s2)CCCC1)C(=O)O,7.723538195826756,3.49,339.46,active,339.4610000000001,3.490400000000002,2.0,5.0
CHEMBL93785,COc1ccccc1C[C@H](NCP(=O)(O)O)C(=O)N[C@@H](Cc1ccc(-c2ccccc2)cc1)C(=O)O,6.0,2.81,512.5,active,512.4990000000003,2.8102,5.0,5.0
CHEMBL10251,O=P(O)(O)C(Cc1cccc2ccccc12)N[C@@H](Cc1ccc(-c2ccccc2)cc1)c1nnn[nH]1,8.318758762624412,4.64,499.51,active,499.5110000000002,4.639800000000004,4.0,5.0
CHEMBL273724,CC(c1ccc(F)cc1)C(CS)C(=O)NC(Cc1ccc(O)cc1)C(=O)O,8.229147988357855,2.99,391.46,active,391.4640000000001,2.9929000000000006,4.0,4.0
