"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value"
"CHEMBL276690";"";"None";"493.46";"0";"3.22";"19a";"O=P(O)(O)C(Cc1cccc2c1OCO2)N[C@@H](Cc1ccc(-c2ccccc2)cc1)c1nnn[nH]1";"IC50";"'='";"0.7";"nM";"9.15";"";"";"UO_0000065";"18.55";"0.36";"5.93";"6.43";"0";"CHEMBL754363";"Inhibition of neutral endopeptidase 24.11(NEP)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1944";"Neprilysin";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1129909";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1997";"None";"";"";""
"CHEMBL431691";"";"None";"582.59";"1";"3.56";"diastereomer ratio 2.1 : 1 (table)";"CC(O)C(NC(=O)C(Cc1ccccc1)CP(=O)(O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1)C(=O)O";"IC50";"'='";"10000.0";"nM";"5.00";"";"";"UO_0000065";"8.58";"0.17";"1.44";"3.08";"0";"CHEMBL754361";"Inhibition of neutral endopeptidase in human umbilical vein endothelial cells";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"Endothelial cell";"None";"";"";"";"CHEMBL1944";"Neprilysin";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1152034";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1996";"None";"";"";""
"CHEMBL212001";"";"None";"297.38";"0";"2.46";"60";"CCc1nnc(NC(=O)C2(CCC(=O)O)CCCC2)s1";"IC50";"'='";"237.0";"nM";"6.62";"";"";"UO_0000065";"22.28";"0.45";"4.17";"7.19";"0";"CHEMBL862877";"Inhibition of dog NEP";"B";"BAO_0000357";"single protein format";"Canis lupus familiaris";"None";"None";"None";"None";"";"";"";"CHEMBL1944";"Neprilysin";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138065";"1";"Scientific Literature";"J Med Chem";"2006";"None";"";"";""
"CHEMBL27842";"";"None";"595.59";"1";"3.06";"diastereomer ratio 2 : 1 (table)";"NC(=O)CC(NC(=O)C(Cc1ccccc1)CP(=O)(O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1)C(=O)O";"IC50";"'='";"10000.0";"nM";"5.00";"";"";"UO_0000065";"8.40";"0.16";"1.94";"2.70";"0";"CHEMBL754361";"Inhibition of neutral endopeptidase in human umbilical vein endothelial cells";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"Endothelial cell";"None";"";"";"";"CHEMBL1944";"Neprilysin";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1152034";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1996";"None";"";"";""
"CHEMBL273898";"";"None";"323.46";"0";"2.95";"46";"CC(C)CC(NC(=O)C(CS)C(C)c1ccccc1)C(=O)O";"IC50";"'='";"3.5";"nM";"8.46";"";"";"UO_0000065";"26.14";"0.52";"5.51";"12.73";"0";"CHEMBL755096";"In vivo inhibitory potency against neutral endopeptidase by displacement of [3H]HACBOGly binding in mouse kidney";"B";"BAO_0000218";"organism-based format";"Mus musculus";"None";"None";"None";"None";"";"";"";"CHEMBL1944";"Neprilysin";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1127630";"1";"Scientific Literature";"J Med Chem";"1994";"None";"";"";""
"CHEMBL39714";"";"None";"480.48";"0";"3.69";"56";"O=C(NCCc1ccc(-c2ccccc2)cc1)[C@H](CC#Cc1ccccc1F)NCP(=O)(O)O";"IC50";"'='";"6500.0";"nM";"5.19";"";"";"UO_0000065";"10.80";"0.21";"1.50";"5.26";"0";"CHEMBL751028";"Inhibitory activity against neutral endopeptidase (NEP).";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1944";"Neprilysin";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1131381";"1";"Scientific Literature";"J Med Chem";"1998";"None";"";"";""
"CHEMBL150222";"";"None";"307.42";"0";"2.07";"17a";"O=C1N[C@H](C(=O)O)CCCCc2ccccc2C[C@@H]1CS";"IC50";"'='";"0.9";"nM";"9.05";"";"";"UO_0000065";"29.42";"0.59";"6.98";"13.62";"1";"CHEMBL752994";"Inhibitory concentration required to inhibit neutral endopeptidase (NEP)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1944";"Neprilysin";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1129939";"1";"Scientific Literature";"J Med Chem";"1997";"None";"";"";""
"CHEMBL378763";"";"None";"339.46";"0";"3.49";"R-13";"CCC[C@H](CC1(C(=O)Nc2nnc(CC)s2)CCCC1)C(=O)O";"IC50";"'='";"18.9";"nM";"7.72";"";"";"UO_0000065";"22.75";"0.46";"4.23";"8.38";"0";"CHEMBL862885";"Inhibition of human NEP";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1944";"Neprilysin";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138065";"1";"Scientific Literature";"J Med Chem";"2006";"None";"";"";""
"CHEMBL93785";"";"None";"512.50";"1";"2.81";"5";"COc1ccccc1C[C@H](NCP(=O)(O)O)C(=O)N[C@@H](Cc1ccc(-c2ccccc2)cc1)C(=O)O";"IC50";"'>'";"1000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL752990";"In vitro inhibitory concentration against neutral endopeptidase";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1944";"Neprilysin";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1150039";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1994";"None";"";"";""
"CHEMBL10251";"";"None";"499.51";"0";"4.64";"15a";"O=P(O)(O)C(Cc1cccc2ccccc12)N[C@@H](Cc1ccc(-c2ccccc2)cc1)c1nnn[nH]1";"IC50";"'='";"4.8";"nM";"8.32";"";"";"UO_0000065";"16.65";"0.32";"3.68";"6.71";"0";"CHEMBL754363";"Inhibition of neutral endopeptidase 24.11(NEP)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1944";"Neprilysin";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1129909";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1997";"None";"";"";""
