BindingDB MonomerID,Ligand SMILES,IC50 (nM)
50175518,OC(=O)[C@H]1CCCC2N1C(=O)[C@H](Cc1ccccc21)NC(=O)[C@H](S)Cc1ccccc1,
50614463,OC(=O)[C@@H]1CCC[C@H]2N1C(=O)[C@H](Cc1ccccc21)NC(=O)[C@H](S)Cc1ccccc1,
50044866,OC(=O)[C@H]1CCCC2N1C(=O)C(Cc1ccccc21)NC(=O)C(S)Cc1ccccc1,
50044866,OC(=O)[C@H]1CCCC2N1C(=O)C(Cc1ccccc21)NC(=O)C(S)Cc1ccccc1,
50614462,OC(=O)[C@@H]1CCC[C@H]2N1C(=O)[C@H](Cc1ccccc21)NC(=O)[C@@H](S)Cc1ccccc1,
50287694,COC(=O)CCNC(=O)C1(CS)CCc2ccccc2C1,
298285,O[C@H](C[C@@H](Cc1ccc(cc1)-c1cccc(Cl)c1)NC(=O)C(O)=O)C(O)=O,
50411736,CC(C)C[C@H](S)C(=O)N[C@@H](Cc1ccc(cc1)-c1ccccc1)C(O)=O,
50287702,C[C@H](NC(=O)C1(CS)CCc2ccccc2C1)C(=O)OCc1ccccc1,
582847,O[C@H](C[C@@H](Cc1ccc(cc1)-c1cccc(Cl)c1)NC(=O)CC(O)=O)C(O)=O,
50614468,CC(C)C[C@H](N1Cc2ccccc2C[C@H](NC(=O)[C@@H](S)Cc2ccccc2)C1=O)C(O)=O,
50289194,CC(C)C[C@H](N1Cc2ccccc2C[C@H](NC(=O)[C@H](S)Cc2ccccc2)C1=O)C(O)=O,
50287689,SCC1(CCc2ccccc2C1)C(=O)NCC(=O)OCc1ccccc1,
50287700,Oc1ccc(C[C@H](NC(=O)C2(CS)CCc3ccccc3C2)C(=O)OCc2ccccc2)cc1,
582848,O[C@H](C[C@@H](Cc1ccc(cc1)-c1cccc(Cl)c1)NC(=O)CCC(O)=O)C(O)=O,
50287690,OC(=O)CCCCCCNC(=O)C1(CS)CCc2ccccc2C1,
50287699,OC(=O)C1CCC(CC1)NC(=O)C1(CS)CCc2ccccc2C1,
617465,COC(=O)C(O)CC(Cc1ccc(cc1)-c1cc(Cl)ccc1C)NC(=O)C(O)=O,
50407297,C[C@H](NC(=O)[C@H](CS)[C@@H](C)c1ccccc1)C(O)=O,
50024101,C[C@H](NC(=O)[C@@H](CS)Cc1ccccc1)C(O)=O,
50407297,C[C@H](NC(=O)[C@H](CS)[C@@H](C)c1ccccc1)C(O)=O,
21653,OC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CS)[C@H]1CCc2ccccc12,
21653,OC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CS)[C@H]1CCc2ccccc12,
50411731,CC[C@H](S)C(=O)N[C@@H](Cc1ccc(cc1)-c1ccccc1)C(O)=O,
50087104,[NH3+][C@H](c1ccccc1)P(O)(=O)C[C@@H](Cc1ccc(cc1)-c1ccccc1)C(=O)NCC(O)=O,
299642,CCOC(=O)[C@H](COS(=O)(=O)c1ccc(Br)cc1)C[C@@H](Cc1ccc(cc1)-c1cc(Cl)ccc1F)NB(C)O,
299642,CCOC(=O)[C@H](COS(=O)(=O)c1ccc(Br)cc1)C[C@@H](Cc1ccc(cc1)-c1cc(Cl)ccc1F)NB(C)O,
299642,CCOC(=O)[C@H](COS(=O)(=O)c1ccc(Br)cc1)C[C@@H](Cc1ccc(cc1)-c1cc(Cl)ccc1F)NB(C)O,
299662,OC(=O)[C@@H](C[C@@H](Cc1ccc(cc1)-c1cc(Cl)ccc1F)NC(=O)c1cnn[nH]1)N=[N+]=[N-],
299664,CCOC(=O)[C@@H](C[C@@H](Cc1ccc(cc1)-c1cc(Cl)ccc1F)NC(=O)c1cnn[nH]1)CN1CC(C1)C(N)=O,
299666,CCOC(=O)[C@@H](C[C@@H](Cc1ccc(cc1)-c1cc(Cl)ccc1F)NB(C)O)OS(C)(=O)=O,
299668,CCOC(=O)[C@H](CO)C[C@@H](Cc1ccc(cc1)-c1cc(Cl)ccc1F)NB(C)O,
299666,CCOC(=O)[C@@H](C[C@@H](Cc1ccc(cc1)-c1cc(Cl)ccc1F)NB(C)O)OS(C)(=O)=O,
299670,CB(O)NC(C)(C)C(=O)NC[C@H](C[C@@H](Cc1ccc(cc1)-c1cc(Cl)ccc1F)NC(=O)c1ncc(C)o1)C(O)=O,
299671,CCOC(=O)[C@H](COCCN(C)C)C[C@@H](Cc1ccc(cc1)-c1cc(Cl)ccc1F)NB(C)O,
299642,CCOC(=O)[C@H](COS(=O)(=O)c1ccc(Br)cc1)C[C@@H](Cc1ccc(cc1)-c1cc(Cl)ccc1F)NB(C)O,
299355,CCOC(=O)[C@H](COS(C)(=O)=O)C[C@@H](Cc1ccc(cc1)-c1cc(Cl)ccc1F)NB(C)O,
299642,CCOC(=O)[C@H](COS(=O)(=O)c1ccc(Br)cc1)C[C@@H](Cc1ccc(cc1)-c1cc(Cl)ccc1F)NB(C)O,
299355,CCOC(=O)[C@H](COS(C)(=O)=O)C[C@@H](Cc1ccc(cc1)-c1cc(Cl)ccc1F)NB(C)O,
299642,CCOC(=O)[C@H](COS(=O)(=O)c1ccc(Br)cc1)C[C@@H](Cc1ccc(cc1)-c1cc(Cl)ccc1F)NB(C)O,
299355,CCOC(=O)[C@H](COS(C)(=O)=O)C[C@@H](Cc1ccc(cc1)-c1cc(Cl)ccc1F)NB(C)O,
299642,CCOC(=O)[C@H](COS(=O)(=O)c1ccc(Br)cc1)C[C@@H](Cc1ccc(cc1)-c1cc(Cl)ccc1F)NB(C)O,
299682,CCOC(=O)[C@H](CC#N)C[C@@H](Cc1ccc(cc1)-c1ccccc1)NC(=O)c1cnn[nH]1,
299347,CCOC(=O)[C@H](COC)C[C@@H](Cc1ccc(cc1)-c1cc(Cl)ccc1F)NC(=O)c1cc(CC)no1,
299348,NC(=O)C[C@H](C[C@@H](Cc1ccc(cc1)-c1ccccc1)NC(=O)c1cnn[nH]1)C(O)=O,
299353,CC(C)c1coc(n1)C(=O)N[C@@H](C[C@@H](N=[N+]=[N-])C(O)=O)Cc1ccc(cc1Cl)-c1cc(Cl)ccc1F,
