BindingDB MonomerID,Ligand SMILES,IC50 (nM)
50035247,CC(C)C(C(=O)NO)C(=O)NC(Cc1c[nH]c2ccccc12)C(O)=O,10.522878745280337
155343,C[C@H](C[C@@H](Cc1ccc(cc1)-c1cccc(Cl)c1)NC(=O)c1cc(n[nH]1)C(O)=O)C(O)=O,10.522878745280337
50035246,CC(C)CC(C(=O)NO)C(=O)NC(Cc1c[nH]c2ccccc12)C(O)=O,10.522878745280337
153121,C[C@@H](C[C@@H](Cc1ccc(cc1)-c1cccc(Cl)c1)NC(=O)c1cc(O)no1)C(O)=O,10.397940008672037
309469,C[C@H](C[C@@H](Cc1ccc(cc1)-c1cccc(Cl)c1)NC(=O)C(\O)=C\C(O)=N)C(O)=O,10.397940008672037
50175518,OC(=O)[C@H]1CCCC2N1C(=O)[C@H](Cc1ccccc21)NC(=O)[C@H](S)Cc1ccccc1,10.096910013008056
138390,CCOC(=O)[C@H](C)N[C@@H](Cc1ccc(cc1)-c1cccc(Cl)c1)C(=O)Nc1nnn[nH]1,10.045757490560675
186570,OC(=O)C[C@@H](Cc1ccc(cc1)-c1cc(Cl)ccc1F)NC(=O)CCP(O)(O)=O,9.958607314841775
50073120,OC(=O)[C@@H]1CCC[C@@H]2SCC[C@H](NC(=O)[C@@H](S)Cc3ccccc3)C(=O)N12,9.700000503883016
138396,CC[C@H](N[C@@H](Cc1ccc(cc1)-c1cccc(Cl)c1)C(=O)NC1=NNNN1)C(O)=O,9.698970004336019
138395,OC(=O)[C@H](CCc1ccccc1)N[C@@H](Cc1ccc(cc1)-c1cccc(Cl)c1)C(=O)NC1=NNNN1,9.698970004336019
50008612,[O-]S(=O)(=O)c1cccc(NC(=O)C(CS)Cc2ccccc2)c1,9.568636235841012
153128,C[C@H](C[C@@H](Cc1ccc(cc1)-c1cccc(Cl)c1)NC(=O)CCC(O)=O)C(O)=O,9.522878745280337
155344,C[C@H](C[C@@H](Cc1ccc(cc1)-c1cccc(Cl)c1)NC(=O)c1ccc(o1)C(O)=O)C(O)=O,9.522878745280337
50344195,COCC[C@H](NC1(CCCC1)C(=O)N[C@@H](Cc1ncc(o1)-c1ccc(Cl)cc1)C(O)=O)C(O)=O,9.522878745280337
50344193,COCC[C@H](NC1(CCCC1)C(=O)N[C@@H](Cc1ncc(o1)-c1ccccc1)C(O)=O)C(O)=O,9.522878745280337
138391,C[C@H](N[C@@H](Cc1ccc(cc1)-c1cc(Cl)ccc1Cl)C(=O)Nc1nnn[nH]1)C(=O)OC(C)(C)C,9.522878745280337
50354041,OC(=O)CCNC(=O)[C@H](Cc1ccc(cc1)-c1ccccc1)N[C@@H](CCc1ccccc1)C(O)=O,9.443697499232712
130359,COc1ccc(Cl)cc1-c1ccc(C[C@H](CC(O)=O)NC(=O)CCC(O)=O)cc1,9.42021640338319
50251742,CC(C)C[C@H](NP(O)(=O)O[C@@H]1O[C@@H](C)[C@H](O)[C@@H](O)[C@H]1O)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(O)=O,9.397940008672037
50024094,C[C@@H](NC(=O)[C@H](CS)Cc1ccccc1)C(O)=O,9.387216143280265
50024101,C[C@H](NC(=O)[C@@H](CS)Cc1ccccc1)C(O)=O,9.318758762624412
50367820,ONC(=O)C[C@@H](Cc1ccccc1)NC(=O)CC(O)=O,9.301029995663981
50354042,C[C@@H](CNC(=O)[C@H](Cc1ccc(cc1)-c1ccccc1)N[C@@H](CCc1ccccc1)C(O)=O)C(O)=O,9.292429823902063
